Zipcode,Median Income,population
75001,57633,12414
75002,91632,63140
75006,56985,46364
75007,78934,51624
75009,87581,8785
75010,75696,21607
75013,131878,30347
75019,110445,38666
75020,40999,21872
75021,40000,8036
75022,145938,22545
75023,74777,45452
75024,88707,36039
75025,104168,50926
75028,111391,42226
75032,93308,27986
75034,111318,72723
75035,102913,47553
75038,48130,27802
75039,73503,11032
75040,54664,59406
75041,40136,30700
75042,39811,37881
75043,55149,58094
75044,64302,40811
75048,87171,20328
75050,44548,41041
75051,40107,39285
75052,66744,88996
75054,105000,5053
75056,79251,47852
75057,50338,12900
75058,79250,2982
75060,45775,45980
75061,40084,53442
75062,45872,44537
75063,69114,35090
75065,72342,10748
75067,56555,60982
75068,85446,34934
75069,45907,34108
75070,98524,74734
75071,80291,36090
75074,54518,44622
75075,72852,33262
75076,52543,7378
75077,99629,35330
75078,119529,10592
75080,60440,44009
75081,63470,34156
75082,111726,21182
75087,86094,28145
75088,81425,24712
75089,86134,30251
75090,38216,23724
75092,50771,22839
75093,99225,47187
75094,116344,20579
75098,81413,48197
75101,33438,646
75102,40455,1322
75103,50286,12851
75104,67691,45373
75105,29500,301
75109,58317,3658
75110,40235,28132
75114,68287,4660
75115,61729,48877
75116,53706,19669
75117,41348,3722
75119,44808,26601
75124,47500,4446
75125,45375,6691
75126,85677,33396
75127,45848,1593
75132,65563,294
75134,46971,20276
75135,62800,5910
75137,58895,18861
75140,41111,6958
75141,34786,5374
75142,53809,18982
75143,40135,14619
75144,32289,3291
75146,59244,17993
75147,45227,6602
75148,34252,5842
75149,47739,56065
75150,45999,58730
75152,54659,4606
75153,38692,605
75154,66162,36041
75155,37375,2579
75156,37212,14580
75157,41042,310
75158,58466,4139
75159,45479,18339
75160,44594,23627
75161,56148,6165
75163,51800,2285
75164,56042,671
75165,59385,37966
75166,75804,3070
75167,76207,8436
75169,43316,14644
75172,39246,3956
75173,67327,4353
75180,37787,23031
75181,73879,25908
75182,90366,5118
75189,73146,22406
75201,67979,9409
75202,79681,1666
75203,28602,15721
75204,63551,26279
75205,108913,23061
75206,52192,36248
75207,74792,9648
75208,45170,30171
75209,79408,13653
75210,15258,7482
75211,36704,73146
75212,28802,24884
75214,69168,32950
75215,23433,14648
75216,23294,49416
75217,34480,80324
75218,65567,21665
75219,59650,22124
75220,35827,41891
75223,35949,13947
75224,33830,34034
75225,147153,20892
75226,42768,3506
75227,37720,55029
75228,36274,66551
75229,70625,31571
75230,68863,26934
75231,33546,37052
75232,36265,28682
75233,40151,14043
75234,53305,28794
75235,37530,17177
75236,37645,15949
75237,29787,17101
75238,52779,30483
75240,37095,24296
75241,30870,27066
75243,35944,55406
75244,72735,13266
75246,32254,2770
75247,23793,468
75248,72111,33395
75249,57247,13373
75251,56788,2331
75252,54650,24112
75253,33283,18450
75254,44283,23253
75270,0,0
75287,46828,49004
75390,0,0
75401,31274,18552
75402,57594,15920
75407,52330,14120
75409,61997,11831
75410,40492,4334
75411,61641,1118
